Ad ID,Ad Text,Ad Landing Page,Ad Targeting Location,Excluded Connections,Age,Language,Placements,People Who Match,Friends of Connections,Ad Impressions,Ad Clicks,Ad Spend,Ad Creation Date,Ad End Date
1832,Oh sweetheart no uh uh,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: Funny Photo's, Funny Pictures, LOL or Funny Pics",N/A,"14 - 40
Gender: Female",N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"14,672","3,501",500.00 RUB,06/22/16 07:35:14 AM PDT,06/23/16 07:32:36 AM PDT
3421,"Only for Chrome users!
Any music via ""FaceMusic"" absolutely legal and for free! Free online music
library! Download!
musicfb.info FaceMusic Stop A.I.",https://musicfb.info/,United States,N/A,"15 - 25
Gender: Female",English (UK)or English (US),News Feed on desktop computers,"Behaviors: Facebook access (browser): Chrome
And Must Also Match: Interests: Free software
And Must Also Match: Interests: Music",N/A,404,1,None,05/12/16 01:56:01 AM PDT,N/A
3418,"Listen to your favorite music via ` FaceMusic"" absolutely legal and for free!
Free online music player': Download now! musicfb.info FaceMusic Stop A.I.",https://musicfb.info/,United States,N/A,"14 - 17
Gender: Female",English (UK) or English (US),News Feed on desktop computers,"Behaviors: Facebook access (browser): Chrome
And Must Also Match: Interests Free software
And Must Also Match: Interests Music",N/A,0,0,None,05/13/16 12:04:16 AM PDT,N/A
4,"Don't Shoot is a community site where you can find recent videos about
outrageous police misconduct, really valuable ones but underrepresented by
mass media. We provide you with first-hand stories and diverse videos. Join
us! Click Learn more!",https://www.facebook.com/Blacklivessss-930158090385628/,United States,N/A,13 - 44,English (US),Instagram Feed,Interests: Cop Block,N/A,"14,311",33,"7,575.66 RUB",04/19/16 07:49:45 AM PDT,N/A
3435,"First online player for ur browser! Listen everything for free! musicfb.info
FaceMusic Stop A.I.",https://musicfb.info/,United States,N/A,15 - 25,English (UK)or English (US),News Feed on desktop computers,"Behaviors: Facebook access (browser): Chrome
And Must Also Match: Interests: Grooveshark, Last.fm, SoundCloud, Vevo or
Google Play Music",N/A,0,0,None,05/12/16 03:25:50 AM PDT,N/A
1720,When your mom describes you to her family,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"8,562","1,496",700.00 RUB,06/23/16 07:27:00 AM PDT,06/24/16 07:26:59 AM PDT
1710,Well it had me at the sleep part,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"6,592",856,540.50 RUB,04/18/16 04:21:16 AM PDT,04/24/16 12:21:00 PM PDT
1733,"It could also be someone stabbing you, and trying to kill ya too",https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,None,05/16/16 04:15:43 AM PDT,05/17/16 04:15:42 AM PDT
531,"Remember that terrible case when a student was forced by York
Comprehensive High School officials to remove the Old Glory from his
pickup? It happened in May 2015 and luckily had a happy end, as a result the
students were allowed to attach our flag to their vehicles.
The story ended well by efforts of dozens of patriots united to protest against
High School authorities. It was a peaceful but strong and confident protest
that made the authorities listen, it was a great example of how conscious
people should act. We have to keep ready to stand against all kinds of attacks
on American values and Constitutional laws.
Unfortunately our current Government approves and even provokes these
attacks, and the liberals' offensive and violent moods make it clear — every
American patriot has to be careful and attentive.",https://www.facebook.com/Being-Patriotic-1601685693432389/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Being Patriotic,Friends of people who are connected to Being Patriotic,129,32,17.24 RUB,05/10/16 08:12:26 AM PDT,05/11/16 08:12:25 AM PDT
274,"A black man found hanged on a tree, still no investigation initiated. The body
of a 38-year-old Atlanta resident was discovered in the territory of the forest
not far from Richmond Road and Park East Drive, Beachwood, Ohio. The bl
Ohio Authorities Keep Their Eyes Shut At KKK-style Death I Black Matters
Black Matters","https://blackmattersus.com/8347-ohio-authorities-keep-their-eyes-shut-at-kkk-
style-death/",United States: Detroit Michigan,N/A,18 - 54,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,74,11,65.51 RUB,05/25/16 12:32:02 AM PDT,05/26/16 12:32:00 AM PDT
1379,There is nothing good in illegal immigration! Press Like to Join!,https://www.facebook.com/Stop-Al-896610653786585/,"United Kingdom, United States",Exclude people who like Stop A.1.,"25 - 65+
Gender: Male",English (UK)or English (US),News Feed on mobile devices,N/A,N/A,0,0,None,04/08/16 03:30:40 AM PDT,N/A
458,"Bob Miranda-Boulay, Camp Lejeune Marine reservist, suffers serious health
issues after exposure to tainted water. And he's not the only one!
Approximately 30,000 Marine Reservists may have suffered the same kind of
exposure.
Where were the liberals shouting about ecological problems? Why do they
care about shutting down the coal industry to avoid mysterious unproved
global warming but they don't mind thousands of Americans drinking
poisoned water?
Neither the VA officials nor our military commanders helped our Marines and
now they just feel abandoned. Bob Miranda-Boulay said `I don't count' — that
is what our veterans feel. That is not an attitude they deserve.
""I wanted to make a difference,"" Boulay said. ""I love my country and I wanted
to do the right thing. I wanted to be a Marine."" That is a real shame our
veterans feel being betrayed by our country leaders.",https://www.facebook.com/Being-Patriotic-1601685693432389/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Being Patriotic,Friends of people who are connected to Being Patriotic,"4,697","1,003",700.00 RUB,05/10/16 08:14:03 AM PDT,05/11/16 01:59:01 PM PDT
872,"The statistics show that nationwide 15 percent of Black students receive
suspensions, comparing with 4 percent of white students.
In some state, the numbers are even more disturbing. For example,
Wisconsin suspended 26.6 percent of Black students compared to the 3
percent of white students. Also in Minnesota, Connecticut, Iowa and
Nebraska black students were six times more likely than white students to be
suspended from school.
The racism in education is the reason why the school-to-prison pipeline
exists.
Our kids cannot even get a proper education, no wonder the success rate
among black students is low. Somehow white people still think that education
is only their privilege.",https://www.facebook.com/WilliamsKalvin-788980617892144/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Williams&Kalvin,Friends of people who are connected to Williams&Kalvin,467,44,100.00 RUB,04/15/16 01:21:41 AM PDT,04/16/16 01:21:41 AM PDT
273,"A new research shows that blacks are more likely to be diagnosed with
depression and schizophrenia disorders than whites. The study, which was
published by the Psychiatric Services journal, analyzed medical records of
patients from the Mental Health Research Network. One of the co- More
Blacks Are Diagnosed With Schizophrenia But Few Are Treated I Black
Matters Black Matters",https://www.facebook.com/Black-Matters-1579673598947501/,United States: Detroit Michigan,N/A,18 - 54,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,57,5,85.33 RUB,05/23/16 08:06:15 AM PDT,05/24/16 08:06:14 AM PDT
